"","Year","Area","Street","Street.2"
"1",2011,"Birmingham","Acocks Green","Acocks Green"
"2",2011,"","Adderly Str.","Adderly Str."
"3",2011,"","Alcester Road  Mosley"," Alcester Road, Mosley"
"4",2011,"","alcester Road","alcester Road"
"5",2011,"","alcester Road moseley","alcester Road moseley"
"6",2011,"","Alcester Road Moseley","Alcester Road Moseley"
"7",2011,"","Alfred Str.","Alfred Str."
"8",2011,"","All service club  Mosley"," All service club, Mosley"
"9",2011,"","Alum Rock Road","Alum Rock Road"
"10",2011,"","Alum Rock Road","Alum Rock Road"
"11",2011,"","Alum Rock Road","Alum Rock Road"
"12",2011,"","Alum Rock Road","Alum Rock Road"
"13",2011,"","arcadian centre","arcadian centre"
"14",2011,"","Arden Road  Saltley"," Arden Road, Saltley"
"15",2011,"","Asda  Chemsley Wood"," Asda, Chemsley Wood"
"16",2011,"","Balsahll Heath Park  J W Brighton Road"," Balsahll Heath Park, J/W Brighton Road"
"17",2011,"","Bamford Road","Bamford Road"
"18",2011,"","Bamford Road","Bamford Road"
"19",2011,"","BeechBrook Avenue Sparkhill","BeechBrook Avenue Sparkhill"
"20",2011,"","Belchers Lane","Belchers Lane"
"21",2011,"","Belchers Lane","Belchers Lane"
"22",2011,"","Belchers Lane","Belchers Lane"
"23",2011,"","Belchers Lane  Bordesley Green"," Belchers Lane, Bordesley Green"
"24",2011,"","Bell Str.","Bell Str."
"25",2011,"","Berkley Rd East    Haymills"," Berkley Rd East ,  Haymills."
"26",2011,"","birmingham airport","birmingham airport"
"27",2011,"","Birmingham International railway station","Birmingham International railway station"
"28",2011,"","Bordesley Green","Bordesley Green"
"29",2011,"","Bordesley Green    Bordesley Green"," Bordesley Green ,  Bordesley Green."
"30",2011,"","Bristol Road","Bristol Road"
"31",2011,"","Bristol Str.","Bristol Str."
"32",2011,"","BRoad Str.","BRoad Str."
"33",2011,"","BRoad Str.","BRoad Str."
"34",2011,"","BRoad Str. Birmingham","BRoad Str. Birmingham"
"35",2011,"","Buckland End Lane Shard End","Buckland End Lane Shard End"
"36",2011,"","Bulls Head PH  St Marys Row"," Bulls Head PH, St Marys Row"
"37",2011,"","Bushbury Road  Kitts Green"," Bushbury Road, Kitts Green"
"38",2011,"","Chartice Road","Chartice Road"
"39",2011,"","Chestnut Road","Chestnut Road"
"40",2011,"","church rd  stechford"," church rd, stechford"
"41",2011,"","Church Road  Sheldon"," Church Road, Sheldon"
"42",2011,"","Clifford RD Dorridge","Clifford RD Dorridge."
"43",2011,"","Clock Lane","Clock Lane"
"44",2011,"","Colonial Road  Bordesley Green"," Colonial Road, Bordesley Green`"
"45",2011,"","Corporation St Birmingham"," Corporation St,Birmingham"
"46",2011,"","corporation Str.","corporation Str."
"47",2011,"","Coventry rd Small heath","Coventry rd Small heath"
"48",2011,"","COVENTRY RD  SMALL HEATH  BHAM"," COVENTRY RD, SMALL HEATH, BHAM"
"49",2011,"","Coventry Road","Coventry Road"
"50",2011,"","Coventry Road","Coventry Road"
"51",2011,"","Coventry Road","Coventry Road"
"52",2011,"","Coventry Road","Coventry Road"
"53",2011,"","Coventry Road","Coventry Road"
"54",2011,"","Coventry Road  Small heath"," Coventry Road, Small heath"
"55",2011,"","Coventry Road  Small Heath"," Coventry Road, Small Heath"
"56",2011,"","coventry Road small heath"," coventry Road,small heath"
"57",2011,"","Cranes Park Road","Cranes Park Road"
"58",2011,"","Cranes Park Road Sheldon","Cranes Park Road Sheldon"
"59",2011,"","crossfield Road","crossfield Road"
"60",2011,"","Crossfields Road Kitts Green","Crossfields Road Kitts Green"
"61",2011,"","cxhurch rd  stechford  bham"," cxhurch rd, stechford, bham"
"62",2011,"","digbeth high Str.","digbeth high Str."
"63",2011,"","Edgbaston Road","Edgbaston Road"
"64",2011,"","Edward Road  Moseley","Edward Road. Moseley"
"65",2011,"","Fighting Cox PH","Fighting Cox PH"
